"","AdultHeadBodyLen_mm","AdultBodyMass_g","LitterSize","GR_Area_km2","ActivityCycle","TrophicLevel","HabitatBreadth","DietBreadth","Order","Family","Genus","Species"
"Rhinolophus_yunanensis",NA,19.33,NA,883933.76,NA,"carnivore","1","1","Chiroptera","Rhinolophidae","Rhinolophus","yunanensis"
"Rhinolophus_ziama",NA,NA,NA,NA,NA,NA,NA,NA,"Chiroptera","Rhinolophidae","Rhinolophus","ziama"
"Rhinonicteris_aurantia",49.99,8.99,1,888542.65,"nocturnal","carnivore","1","1","Chiroptera","Hipposideridae","Rhinonicteris","aurantia"
"Rhinophylla_alethina",NA,NA,NA,241884.09,NA,"herbivore","1","1","Chiroptera","Phyllostomidae","Rhinophylla","alethina"
"Rhinophylla_fischerae",NA,9.6,0.98,3691801.39,NA,"herbivore","1","1","Chiroptera","Phyllostomidae","Rhinophylla","fischerae"
"Rhinophylla_pumilio",NA,9.58,0.98,8340002.26,NA,"herbivore","1","1","Chiroptera","Phyllostomidae","Rhinophylla","pumilio"
"Rhinopithecus_avunculus",569.91,9086.19,1,29614.99,"diurnal",NA,"2",NA,"Primates","Cercopithecidae","Rhinopithecus","avunculus"
"Rhinopithecus_bieti",718.26,11000.54,NA,23060.04,"diurnal","omnivore",NA,"5","Primates","Cercopithecidae","Rhinopithecus","bieti"
"Rhinopithecus_brelichi",707.14,12267.15,1,34391.58,"diurnal","herbivore","2","2","Primates","Cercopithecidae","Rhinopithecus","brelichi"
"Rhinopithecus_roxellana",647.1,13456.8,1,311105.7,"diurnal","herbivore","2","2","Primates","Cercopithecidae","Rhinopithecus","roxellana"
"Rhinopoma_hardwickii",59.8,13.1,0.99,16925604.79,NA,"carnivore","1","1","Chiroptera","Rhinopomatidae","Rhinopoma","hardwickii"
"Rhinopoma_macinnesi",NA,NA,NA,1809957.25,NA,NA,NA,NA,"Chiroptera","Rhinopomatidae","Rhinopoma","macinnesi"
"Rhinopoma_microphyllum",61.82,28.02,1,14416988.96,NA,"carnivore","1","1","Chiroptera","Rhinopomatidae","Rhinopoma","microphyllum"
"Rhinopoma_muscatellum",NA,9.13,NA,801219.76,NA,"carnivore","1","1","Chiroptera","Rhinopomatidae","Rhinopoma","muscatellum"
"Rhinosciurus_laticaudatus",210.16,230.3,1.39,880578.73,NA,"omnivore",NA,"3","Rodentia","Sciuridae","Rhinosciurus","laticaudatus"
"Rhipidomys_austrinus",NA,89,NA,175757.5,"nocturnal",NA,"1",NA,"Rodentia","Cricetidae","Rhipidomys","austrinus"
"Rhipidomys_caucensis",NA,89,NA,NA,"nocturnal",NA,"1",NA,"Rodentia","Cricetidae","Rhipidomys","caucensis"
"Rhipidomys_couesi",NA,89,NA,NA,"nocturnal",NA,"1",NA,"Rodentia","Cricetidae","Rhipidomys","couesi"
"Rhipidomys_emiliae",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Rhipidomys","emiliae"
"Rhipidomys_fulviventer",NA,89,NA,43102.02,"nocturnal",NA,"1",NA,"Rodentia","Cricetidae","Rhipidomys","fulviventer"
"Rhipidomys_gardneri",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Rhipidomys","gardneri"
"Rhipidomys_latimanus",NA,57.5,NA,96039.74,"nocturnal","omnivore","1","4","Rodentia","Cricetidae","Rhipidomys","latimanus"
"Rhipidomys_leucodactylus",NA,NA,NA,1081054.45,NA,NA,NA,NA,"Rodentia","Cricetidae","Rhipidomys","leucodactylus"
"Saguinus_geoffroyi",NA,492.5,1.97,76159.09,"diurnal","omnivore","1","4","Primates","Cebidae","Saguinus","geoffroyi"
"Saguinus_graellsi",NA,NA,NA,224121.08,NA,NA,NA,NA,"Primates","Cebidae","Saguinus","graellsi"
"Saguinus_imperator",NA,407.91,NA,191381.63,"diurnal","omnivore","1","2","Primates","Cebidae","Saguinus","imperator"
"Saguinus_inustus",NA,803,NA,266932.81,"diurnal",NA,"1",NA,"Primates","Cebidae","Saguinus","inustus"
"Saguinus_labiatus",NA,508.46,1.84,253794.53,"diurnal",NA,"1",NA,"Primates","Cebidae","Saguinus","labiatus"
"Saguinus_leucopus",239.99,456.68,2,38875.35,"diurnal","omnivore","1","5","Primates","Cebidae","Saguinus","leucopus"
"Saguinus_martinsi",NA,NA,NA,9116.87,NA,NA,NA,NA,"Primates","Cebidae","Saguinus","martinsi"
"Saguinus_melanoleucus",NA,NA,NA,47371.93,NA,NA,NA,NA,"Primates","Cebidae","Saguinus","melanoleucus"
"Saguinus_midas",264.21,540.56,2.02,1524401.32,"diurnal","omnivore","1","4","Primates","Cebidae","Saguinus","midas"
"Saguinus_mystax",NA,555.87,1.93,557860.63,"diurnal","omnivore","1","5","Primates","Cebidae","Saguinus","mystax"
"Saguinus_niger",NA,NA,NA,295763.89,NA,NA,NA,NA,"Primates","Cebidae","Saguinus","niger"
"Saguinus_nigricollis",NA,450,1.82,63703.04,"diurnal",NA,"1",NA,"Primates","Cebidae","Saguinus","nigricollis"
"Saguinus_oedipus",239.99,462.04,1.9,51020.84,"diurnal","omnivore","1","4","Primates","Cebidae","Saguinus","oedipus"
"Saguinus_pileatus",NA,NA,NA,82904.59,NA,NA,NA,NA,"Primates","Cebidae","Saguinus","pileatus"
"Saguinus_tripartitus",NA,385.05,NA,12544.34,"diurnal",NA,"1",NA,"Primates","Cebidae","Saguinus","tripartitus"
"Saiga_borealis",NA,NA,NA,125569.97,NA,NA,NA,NA,"Artiodactyla","Bovidae","Saiga","borealis"
"Saiga_tatarica",1160,37734.01,1.5,2926916.31,"diurnal","herbivore","2","2","Artiodactyla","Bovidae","Saiga","tatarica"
"Saimiri_boliviensis",309.99,799.45,1.02,1686507.84,"diurnal",NA,NA,NA,"Primates","Cebidae","Saimiri","boliviensis"
"Spalax_graecus",NA,NA,NA,43748.63,NA,NA,NA,NA,"Rodentia","Spalacidae","Spalax","graecus"
"Spalax_judaei",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Spalacidae","Spalax","judaei"
"Spalax_leucodon",NA,188.67,3.24,714434.38,NA,"omnivore","1","4","Rodentia","Spalacidae","Spalax","leucodon"
"Spalax_microphthalmus",NA,470,2.91,732950.44,NA,NA,NA,NA,"Rodentia","Spalacidae","Spalax","microphthalmus"
"Spalax_nehringi",NA,NA,NA,597695.95,NA,NA,NA,NA,"Rodentia","Spalacidae","Spalax","nehringi"
"Spalax_uralensis",NA,NA,NA,31510.94,NA,NA,NA,NA,"Rodentia","Spalacidae","Spalax","uralensis"
"Spalax_zemni",NA,NA,NA,203090.75,NA,NA,NA,NA,"Rodentia","Spalacidae","Spalax","zemni"
"Spelaeomys_florensis",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Muridae","Spelaeomys","florensis"
"Speothos_venaticus",624.73,6324.54,3.8,9703966.13,"diurnal","carnivore","1","1","Carnivora","Canidae","Speothos","venaticus"
"Spermophilopsis_leptodactylus",243.27,NA,4.5,1209953.8,NA,NA,"1",NA,"Rodentia","Sciuridae","Spermophilopsis","leptodactylus"
"Spermophilus_adocetus",177.47,155.52,NA,31030.21,NA,"herbivore","2","2","Rodentia","Sciuridae","Spermophilus","adocetus"
"Spermophilus_alashanicus",NA,NA,NA,197144.17,NA,NA,NA,NA,"Rodentia","Sciuridae","Spermophilus","alashanicus"
"Spermophilus_annulatus",221.13,499.99,3.88,50385.66,NA,"omnivore","3","3","Rodentia","Sciuridae","Spermophilus","annulatus"
"Spermophilus_armatus",219.5,306.48,5.4,176342.04,NA,"omnivore","2","3","Rodentia","Sciuridae","Spermophilus","armatus"
"Spermophilus_atricapillus",244.66,550.99,NA,12535.95,NA,NA,NA,NA,"Rodentia","Sciuridae","Spermophilus","atricapillus"
"Spermophilus_beecheyi",NA,597.82,6.71,459262.56,NA,NA,"1",NA,"Rodentia","Sciuridae","Spermophilus","beecheyi"
"Spermophilus_beldingi",236.4,272.53,5.71,337927.66,"diurnal","omnivore","2","5","Rodentia","Sciuridae","Spermophilus","beldingi"
"Sorex_planiceps",NA,NA,NA,117678.59,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","planiceps"
"Sorex_portenkoi",NA,NA,NA,121022.13,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","portenkoi"
"Sorex_preblei",53,3.14,NA,670513.97,NA,NA,"1",NA,"Soricomorpha","Soricidae","Sorex","preblei"
"Sorex_pribilofensis",NA,NA,NA,116.5,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","pribilofensis"
"Sorex_raddei",NA,NA,2.69,528211.09,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","raddei"
"Sorex_roboratus",73.67,12.99,7.52,7591420.4,NA,"carnivore",NA,"1","Soricomorpha","Soricidae","Sorex","roboratus"
"Sorex_samniticus",NA,8.24,NA,57915.64,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","samniticus"
"Sorex_satunini",NA,NA,NA,601088.01,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","satunini"
"Sorex_saussurei",NA,4.65,NA,464865.07,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","saussurei"
"Sorex_sclateri",NA,7,NA,333.03,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","sclateri"
"Sorex_shinto",63.5,NA,NA,97473.52,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","shinto"
"Sorex_sinalis",70,NA,NA,627821.92,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","sinalis"
"Sorex_sonomae",NA,8.3,NA,142851.4,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","sonomae"
"Sorex_stizodon",NA,7,NA,336.17,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","stizodon"
"Sorex_tenellus",52,3.8,NA,65627.48,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","tenellus"
"Sorex_thibetanus",NA,NA,NA,245938.2,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","thibetanus"
"Sorex_trowbridgii",63.99,5.02,3.91,377970.17,"other","omnivore","1","3","Soricomorpha","Soricidae","Sorex","trowbridgii"
"Sorex_tundrensis",68.19,7.65,8.7,16024867.98,NA,"omnivore",NA,"2","Soricomorpha","Soricidae","Sorex","tundrensis"
"Sorex_ugyunak",NA,NA,NA,1406242.23,NA,NA,NA,NA,"Soricomorpha","Soricidae","Sorex","ugyunak"
"Sorex_unguiculatus",75.49,14.11,5.24,788677.6,"other","carnivore","2","1","Soricomorpha","Soricidae","Sorex","unguiculatus"
"Sorex_vagrans",64.51,5.99,5.84,1257392.2,"other","omnivore",NA,"3","Soricomorpha","Soricidae","Sorex","vagrans"
"Spermophilus_brevicauda",NA,NA,NA,87259.87,NA,NA,NA,NA,"Rodentia","Sciuridae","Spermophilus","brevicauda"
"Spermophilus_brunneus",180.95,300,7.5,1287.06,NA,"omnivore","2","8","Rodentia","Sciuridae","Spermophilus","brunneus"
"Spermophilus_canus",NA,NA,NA,217875.11,NA,NA,NA,NA,"Rodentia","Sciuridae","Spermophilus","canus"
"Spermophilus_citellus",198.5,395.97,6.48,486400.47,"diurnal","omnivore","2","3","Rodentia","Sciuridae","Spermophilus","citellus"
"Spermophilus_columbianus",295.97,470.94,3.54,531930.5,"diurnal","herbivore","2","4","Rodentia","Sciuridae","Spermophilus","columbianus"
"Spermophilus_dauricus",NA,NA,5.62,1089392.42,NA,NA,NA,NA,"Rodentia","Sciuridae","Spermophilus","dauricus"
"Spermophilus_elegans",NA,324.45,5.75,272232.06,"diurnal","herbivore","2","1","Rodentia","Sciuridae","Spermophilus","elegans"
"Saimiri_oerstedii",282.22,714.18,1.01,6892.87,"diurnal","omnivore","1","2","Primates","Cebidae","Saimiri","oerstedii"
"Saimiri_sciureus",322,749.47,1,3166418.25,"diurnal","omnivore","1","3","Primates","Cebidae","Saimiri","sciureus"
"Saimiri_ustus",309.99,886.47,1.02,1699438.17,"diurnal",NA,"1",NA,"Primates","Cebidae","Saimiri","ustus"
"Saimiri_vanzolinii",NA,783.77,1.02,7011.35,"diurnal",NA,NA,NA,"Primates","Cebidae","Saimiri","vanzolinii"
"Salanoia_concolor",296.21,711.49,NA,41471.69,"diurnal","omnivore","1","3","Carnivora","Eupleridae","Salanoia","concolor"
"Salinoctomys_loschalchalerosorum",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Octodontidae","Salinoctomys","loschalchalerosorum"
"Salinomys_delicatus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Salinomys","delicatus"
"Salpingotulus_michaelis",NA,NA,3,110350.78,"nocturnal","herbivore","2","4","Rodentia","Dipodidae","Salpingotulus","michaelis"
"Salpingotus_crassicauda",NA,NA,2.59,1234522.68,NA,"omnivore","2","4","Rodentia","Dipodidae","Salpingotus","crassicauda"
"Salpingotus_heptneri",NA,NA,NA,58531.41,NA,NA,NA,NA,"Rodentia","Dipodidae","Salpingotus","heptneri"
"Salpingotus_kozlovi",NA,NA,NA,1566815.56,NA,NA,NA,NA,"Rodentia","Dipodidae","Salpingotus","kozlovi"
"Salpingotus_pallidus",NA,NA,NA,170262.7,NA,NA,NA,NA,"Rodentia","Dipodidae","Salpingotus","pallidus"
"Salpingotus_thomasi",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Dipodidae","Salpingotus","thomasi"
"Sarcophilus_harrisii",557.86,8202.25,2.88,63567.96,"other","carnivore","1","1","Dasyuromorphia","Dasyuridae","Sarcophilus","harrisii"
"Sauromys_petrophilus",NA,14.25,NA,1573107.22,NA,NA,"1",NA,"Chiroptera","Molossidae","Sauromys","petrophilus"
"Scalopus_aquaticus",125.21,87.15,3.89,3462331.15,"other","omnivore","2","4","Soricomorpha","Talpidae","Scalopus","aquaticus"
"Scapanulus_oweni",89.34,NA,NA,424698.98,NA,"carnivore",NA,"1","Soricomorpha","Talpidae","Scapanulus","oweni"
"Scapanus_latimanus",142.31,62.46,3.49,327590.08,"other","carnivore","1","1","Soricomorpha","Talpidae","Scapanus","latimanus"
"Scapanus_orarius",123.44,62.13,3.24,351196.84,"other","omnivore","2","3","Soricomorpha","Talpidae","Scapanus","orarius"
"Scapanus_townsendii",NA,NA,NA,116660.41,NA,NA,NA,NA,"Soricomorpha","Talpidae","Scapanus","townsendii"
"Scapteromys_aquaticus",NA,NA,NA,142975.58,NA,NA,NA,NA,"Rodentia","Cricetidae","Scapteromys","aquaticus"
"Scapteromys_tumidus",NA,146,3.63,333590.16,"other","carnivore","2","1","Rodentia","Cricetidae","Scapteromys","tumidus"
"Scaptochirus_moschatus",NA,NA,NA,1409958.75,NA,NA,NA,NA,"Soricomorpha","Talpidae","Scaptochirus","moschatus"
"Scaptonyx_fusicaudus",NA,NA,NA,359135.89,NA,NA,NA,NA,"Soricomorpha","Talpidae","Scaptonyx","fusicaudus"
"Sciurillus_pusillus",111.58,34.91,1.94,840125.78,"diurnal","herbivore","1","1","Rodentia","Sciuridae","Sciurillus","pusillus"
"Sciurotamias_davidianus",NA,NA,NA,1445168.25,NA,NA,"1",NA,"Rodentia","Sciuridae","Sciurotamias","davidianus"
"Sciurotamias_forresti",NA,NA,NA,235812.25,NA,NA,NA,NA,"Rodentia","Sciuridae","Sciurotamias","forresti"
"Sciurus_aberti",269.29,622.95,3.2,357095.32,"diurnal","omnivore","2","6","Rodentia","Sciuridae","Sciurus","aberti"
"Sciurus_aestuans",171.48,177.34,NA,7070707.36,"diurnal","omnivore","2","3","Rodentia","Sciuridae","Sciurus","aestuans"
"Sciurus_alleni",233.91,465.14,3,49149.19,"diurnal","omnivore","2","3","Rodentia","Sciuridae","Sciurus","alleni"
"Sciurus_anomalus",NA,NA,4,872461.84,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","anomalus"
"Sciurus_arizonensis",263.19,646.99,3.09,39352.69,"diurnal","herbivore","2","3","Rodentia","Sciuridae","Sciurus","arizonensis"
"Sciurus_aureogaster",251.25,455.57,1.94,623903.21,"diurnal","herbivore","2","3","Rodentia","Sciuridae","Sciurus","aureogaster"
"Sciurus_carolinensis",253.48,545.4,2.98,4081069.29,"diurnal","omnivore","2","7","Rodentia","Sciuridae","Sciurus","carolinensis"
"Sciurus_colliaei",253.14,498,2.66,81663.79,"diurnal","herbivore","2","2","Rodentia","Sciuridae","Sciurus","colliaei"
"Sciurus_deppei",200.49,249.5,2.91,698811.25,"diurnal","herbivore","2","3","Rodentia","Sciuridae","Sciurus","deppei"
"Sciurus_flammifer",NA,NA,NA,47391.27,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","flammifer"
"Sciurus_gilvigularis",NA,803,NA,1263707.24,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","gilvigularis"
"Sciurus_granatensis",221.71,318.44,1.9,843476.46,"diurnal","omnivore","2","6","Rodentia","Sciuridae","Sciurus","granatensis"
"Sciurus_griseus",293.12,703.85,2.65,373639.12,"diurnal","herbivore","2","4","Rodentia","Sciuridae","Sciurus","griseus"
"Sciurus_ignitus",NA,190,NA,1594152.72,"diurnal","omnivore","2","3","Rodentia","Sciuridae","Sciurus","ignitus"
"Sciurus_igniventris",NA,700,NA,2245835.89,"diurnal","herbivore","2","2","Rodentia","Sciuridae","Sciurus","igniventris"
"Sciurus_lis",NA,264.3,NA,283013.81,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","lis"
"Sciurus_nayaritensis",282.15,697,2.43,250172.16,"diurnal","herbivore","2","4","Rodentia","Sciuridae","Sciurus","nayaritensis"
"Sciurus_niger",NA,NA,NA,4359547.5,NA,NA,NA,NA,"Rodentia","Sciuridae","Sciurus","niger"
"Sciurus_oculatus",267.2,649.98,NA,102332.94,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","oculatus"
"Sciurus_pucheranii",NA,803,NA,116015.31,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","pucheranii"
"Sciurus_pyrrhinus",NA,482,NA,63480.04,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","pyrrhinus"
"Sciurus_richmondi",194.4,237.51,2.59,27219.65,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","richmondi"
"Sciurus_sanborni",NA,136,NA,104684.03,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","sanborni"
"Sciurus_spadiceus",NA,403.32,NA,2693893.11,"diurnal","herbivore","2","2","Rodentia","Sciuridae","Sciurus","spadiceus"
"Sciurus_stramineus",NA,433.3,NA,142389.13,"diurnal",NA,"2",NA,"Rodentia","Sciuridae","Sciurus","stramineus"
"Sciurus_variegatoides",262.6,485,4.99,396517.47,"diurnal","omnivore","2","4","Rodentia","Sciuridae","Sciurus","variegatoides"
"Sciurus_vulgaris",213.17,333,4.5,17785005.74,"diurnal","omnivore","2","5","Rodentia","Sciuridae","Sciurus","vulgaris"
"Sciurus_yucatanensis",236.86,225,3,222990.16,"diurnal","herbivore","2","1","Rodentia","Sciuridae","Sciurus","yucatanensis"
"Scleronycteris_ega",NA,49.54,NA,243503.95,NA,NA,"1",NA,"Chiroptera","Phyllostomidae","Scleronycteris","ega"
"Scolomys_melanops",NA,26.5,NA,11901.21,NA,NA,NA,NA,"Rodentia","Cricetidae","Scolomys","melanops"
"Scolomys_ucayalensis",NA,26.5,NA,2596.26,NA,NA,NA,NA,"Rodentia","Cricetidae","Scolomys","ucayalensis"
"Scoteanax_rueppellii",NA,26.41,1,343840.65,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scoteanax","rueppellii"
"Scotinomys_teguina",NA,11.59,2.46,175099.23,NA,"omnivore","1","2","Rodentia","Cricetidae","Scotinomys","teguina"
"Scotinomys_xerampelinus",NA,15.07,3.08,5990.23,NA,NA,NA,NA,"Rodentia","Cricetidae","Scotinomys","xerampelinus"
"Scotoecus_albigula",NA,10.08,NA,4681953.48,NA,NA,NA,NA,"Chiroptera","Vespertilionidae","Scotoecus","albigula"
"Scotoecus_albofuscus",NA,4.5,NA,5509425.96,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotoecus","albofuscus"
"Scotoecus_hindei",NA,10.41,NA,7284863.48,NA,NA,NA,NA,"Chiroptera","Vespertilionidae","Scotoecus","hindei"
"Scotoecus_hirundo",NA,8.45,1.96,4186029.4,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotoecus","hirundo"
"Scotoecus_pallidus",NA,NA,NA,721248.22,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotoecus","pallidus"
"Scotomanes_ornatus",NA,22.24,NA,1811538.78,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotomanes","ornatus"
"Scotonycteris_ophiodon",NA,69.42,0.98,342183.78,NA,NA,"1",NA,"Chiroptera","Pteropodidae","Scotonycteris","ophiodon"
"Scotonycteris_zenkeri",NA,21.3,0.99,928860.2,"nocturnal",NA,"1",NA,"Chiroptera","Pteropodidae","Scotonycteris","zenkeri"
"Scotophilus_borbonicus",NA,19.02,2,2553.73,"nocturnal",NA,"1",NA,"Chiroptera","Vespertilionidae","Scotophilus","borbonicus"
"Scotophilus_celebensis",NA,NA,NA,170486.35,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotophilus","celebensis"
"Scotophilus_collinus",NA,NA,NA,NA,NA,NA,NA,NA,"Chiroptera","Vespertilionidae","Scotophilus","collinus"
"Scotophilus_dinganii",NA,25.12,2.2,14455527.27,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Scotophilus","dinganii"
"Scotophilus_heathii",NA,36.13,1.92,5702540.76,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Scotophilus","heathii"
"Scotophilus_kuhlii",NA,20.31,1.5,NA,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Scotophilus","kuhlii"
"Scotophilus_leucogaster",NA,20.24,1.38,19600115.28,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Scotophilus","leucogaster"
"Scotophilus_nigrita",NA,27.34,1.5,19728406.47,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Scotophilus","nigrita"
"Scotophilus_nucella",NA,NA,NA,4453808.43,NA,NA,NA,NA,"Chiroptera","Vespertilionidae","Scotophilus","nucella"
"Scotophilus_nux",NA,30,NA,3395971.56,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotophilus","nux"
"Scotophilus_robustus",152.5,NA,NA,322073.14,"other","carnivore","1","1","Chiroptera","Vespertilionidae","Scotophilus","robustus"
"Scotophilus_viridis",NA,19.81,2,11311741.69,NA,"carnivore","1","1","Chiroptera","Vespertilionidae","Scotophilus","viridis"
"Scotorepens_balstoni",NA,11.92,1.41,4828168.66,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotorepens","balstoni"
"Scotorepens_greyii",NA,10,NA,3304194.08,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotorepens","greyii"
"Scotorepens_orion",NA,11.83,NA,223272.93,NA,NA,NA,NA,"Chiroptera","Vespertilionidae","Scotorepens","orion"
"Scotorepens_sanborni",NA,8.13,NA,962885.89,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotorepens","sanborni"
"Scotozous_dormeri",NA,6.79,1.08,2966423.23,NA,NA,"1",NA,"Chiroptera","Vespertilionidae","Scotozous","dormeri"
"Scutisorex_somereni",NA,91.49,1.85,252190.81,NA,NA,NA,NA,"Soricomorpha","Soricidae","Scutisorex","somereni"
"Sekeetamys_calurus",NA,56.61,2.9,303182.73,NA,NA,NA,NA,"Rodentia","Muridae","Sekeetamys","calurus"
"Selevinia_betpakdalaensis",84.99,17.12,6.9,164721.4,"other","carnivore","2","1","Rodentia","Gliridae","Selevinia","betpakdalaensis"
"Semnopithecus_ajax",NA,NA,NA,68186.13,NA,NA,NA,NA,"Primates","Cercopithecidae","Semnopithecus","ajax"
"Semnopithecus_dussumieri",NA,NA,NA,410033.74,NA,NA,NA,NA,"Primates","Cercopithecidae","Semnopithecus","dussumieri"
"Semnopithecus_entellus",595,12679.29,1.02,1516357.53,"diurnal","herbivore",NA,"2","Primates","Cercopithecidae","Semnopithecus","entellus"
"Semnopithecus_hector",NA,NA,NA,20231.94,NA,NA,NA,NA,"Primates","Cercopithecidae","Semnopithecus","hector"
"Semnopithecus_hypoleucos",655,10026.65,NA,25713.57,NA,NA,NA,NA,"Primates","Cercopithecidae","Semnopithecus","hypoleucos"
"Semnopithecus_priam",NA,NA,NA,170165.47,NA,NA,NA,NA,"Primates","Cercopithecidae","Semnopithecus","priam"
"Semnopithecus_schistaceus",NA,NA,NA,39835.34,NA,NA,NA,NA,"Primates","Cercopithecidae","Semnopithecus","schistaceus"
"Setifer_setosus",185,263.22,3.24,261594.46,"nocturnal","omnivore","1","2","Afrosoricida","Tenrecidae","Setifer","setosus"
"Setonix_brachyurus",NA,3027.67,1,44560.4,"nocturnal","herbivore","1","2","Diprotodontia","Macropodidae","Setonix","brachyurus"
"Sicista_armenica",NA,NA,NA,21.68,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","armenica"
"Sicista_betulina",NA,8.92,5.29,7681696.02,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","betulina"
"Sicista_caucasica",NA,NA,NA,1258.53,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","caucasica"
"Sicista_caudata",NA,NA,NA,106216.82,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","caudata"
"Sicista_concolor",NA,NA,NA,454458.99,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","concolor"
"Sicista_kazbegica",NA,NA,NA,64.07,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","kazbegica"
"Sicista_kluchorica",NA,NA,NA,18842.52,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","kluchorica"
"Sicista_napaea",NA,10,3.49,236088.44,NA,"omnivore",NA,"3","Rodentia","Dipodidae","Sicista","napaea"
"Sicista_pseudonapaea",NA,NA,NA,26692.53,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","pseudonapaea"
"Sicista_severtzovi",NA,NA,NA,2345.16,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","severtzovi"
"Sicista_strandi",NA,NA,NA,254890.37,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","strandi"
"Sicista_subtilis",NA,11.75,NA,3679354.65,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","subtilis"
"Sicista_tianshanica",NA,NA,4.37,317896.41,NA,NA,NA,NA,"Rodentia","Dipodidae","Sicista","tianshanica"
"Sigmodon_alleni",170.03,174.09,NA,177949.85,NA,NA,NA,NA,"Rodentia","Cricetidae","Sigmodon","alleni"
"Sigmodon_alstoni",NA,55.7,5.18,727598.31,"other","herbivore","1","3","Rodentia","Cricetidae","Sigmodon","alstoni"
"Sigmodon_arizonae",NA,198,NA,348392.27,NA,NA,NA,NA,"Rodentia","Cricetidae","Sigmodon","arizonae"
"Sigmodon_fulviventer",180.35,195.94,7.5,549411.81,NA,NA,"1",NA,"Rodentia","Cricetidae","Sigmodon","fulviventer"
"Sigmodon_hirsutus",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Sigmodon","hirsutus"
"Sigmodon_hispidus",167.5,110.65,5.44,NA,"other","omnivore",NA,"5","Rodentia","Cricetidae","Sigmodon","hispidus"
"Sigmodon_inopinatus",NA,140.5,NA,20681.64,NA,NA,NA,NA,"Rodentia","Cricetidae","Sigmodon","inopinatus"
"Sigmodon_leucotis",157.25,131.78,NA,283910.83,NA,NA,"1",NA,"Rodentia","Cricetidae","Sigmodon","leucotis"
