Station,Camera,Species,DateTimeOriginal,Date,Time
10,10A,Pecari-tajacu,8/6/18 9:40,8/6/18,9:40:00
4,4A,NA-NA,8/6/18 16:57,8/6/18,16:57:10
4,4A,Psophia-crepitans,8/6/18 17:15,8/6/18,17:15:32
21,21B,Dasypus-novemcinctus,8/6/18 19:08,8/6/18,19:08:04
24,24A,Cuniculus-paca,8/6/18 20:04,8/6/18,20:04:05
24,24A,Cuniculus-paca,8/7/18 0:33,8/7/18,0:33:24
4,4A,Psophia-crepitans,8/7/18 11:13,8/7/18,11:13:36
8,8B,Mazama-gouazoubira,8/7/18 14:17,8/7/18,14:17:08
4,4A,Mazama-americana,8/7/18 15:58,8/7/18,15:58:03
4,4B,Mazama-americana,8/7/18 17:29,8/7/18,17:29:38
25,25A,Dasyprocta-fuliginosa,8/7/18 18:06,8/7/18,18:06:27
9,9A,Cuniculus-paca,8/7/18 20:51,8/7/18,20:51:15
4,4A,Tayassu-pecari,8/8/18 11:02,8/8/18,11:02:30
24,24A,Dasyprocta-fuliginosa,8/8/18 12:20,8/8/18,12:20:35
21,21B,Nasua-nasua,8/8/18 14:20,8/8/18,14:20:23
18,18A,Dasyprocta-fuliginosa,8/8/18 17:32,8/8/18,17:32:51
4,4A,Nasua-nasua,8/8/18 18:15,8/8/18,18:15:54
4,4B,Cebus-albifrons,8/8/18 18:16,8/8/18,18:16:30
24,24A,Cuniculus-paca,8/8/18 22:34,8/8/18,22:34:01
30,30B,Mazama-gouazoubira,8/9/18 3:06,8/9/18,3:06:46
8,8B,Tapirus-terrestris,8/9/18 7:28,8/9/18,7:28:13
17,17B,Psophia-crepitans,8/9/18 9:32,8/9/18,9:32:50
2,2B,Dasyprocta-fuliginosa,8/9/18 11:29,8/9/18,11:29:07
4,4A,Tayassu-pecari,8/9/18 12:40,8/9/18,12:40:47
9,9A,Pecari-tajacu,8/9/18 14:55,8/9/18,14:55:33
9,9B,Dasyprocta-fuliginosa,8/9/18 15:02,8/9/18,15:02:51
25,25A,Mitu-salvini,8/9/18 17:53,8/9/18,17:53:40
17,17A,Psophia-crepitans,8/10/18 2:23,8/10/18,2:23:00
16,16A,Mazama-gouazoubira,8/10/18 6:35,8/10/18,6:35:37
4,4A,Pecari-tajacu,8/10/18 15:11,8/10/18,15:11:20
13,13A,Mazama-gouazoubira,8/10/18 16:28,8/10/18,16:28:00
29,29A,Tapirus-terrestris,8/10/18 21:39,8/10/18,21:39:09
24,24A,Cuniculus-paca,8/10/18 22:32,8/10/18,22:32:02
14,14A,Dasypus-novemcinctus,8/10/18 23:24,8/10/18,23:24:19
29,29A,Tapirus-terrestris,8/11/18 0:00,8/11/18,0:00:57
24,24A,Tapirus-terrestris,8/11/18 6:38,8/11/18,6:38:52
10,10B,Puma-concolor,8/11/18 9:10,8/11/18,9:10:49
28,28A,Pecari-tajacu,8/11/18 9:23,8/11/18,9:23:34
28,28A,Pecari-tajacu,8/11/18 12:15,8/11/18,12:15:19
20,20B,Myrmecophaga-tridactyla,8/11/18 13:30,8/11/18,13:30:36
24,24A,Myrmecophaga-tridactyla,8/11/18 16:36,8/11/18,16:36:48
3,3B,Cuniculus-paca,8/12/18 0:20,8/12/18,0:20:19
8,8A,Cuniculus-paca,8/12/18 0:59,8/12/18,0:59:09
24,24A,Penelope-jacquacu,8/12/18 13:25,8/12/18,13:25:56
10,10B,Pecari-tajacu,8/12/18 16:40,8/12/18,16:40:36
21,21B,Leopardus-pardalis,8/12/18 21:45,8/12/18,21:45:34
13,13A,Mazama-gouazoubira,8/12/18 22:05,8/12/18,22:05:00
22,22A,Cuniculus-paca,8/12/18 22:20,8/12/18,22:20:06
22,22A,Leopardus-pardalis,8/13/18 0:06,8/13/18,0:06:51
12,12A,Tamandua-tetradactyla,8/13/18 4:16,8/13/18,4:16:24
18,18B,Tamandua-tetradactyla,8/13/18 5:28,8/13/18,5:28:00
3,3B,Mitu-salvini,8/13/18 16:27,8/13/18,16:27:26
9,9A,NAN-NAN,8/13/18 20:50,8/13/18,20:50:56
9,9A,NA-NA,8/13/18 20:50,8/13/18,20:50:56
3,3B,Cuniculus-paca,8/13/18 22:50,8/13/18,22:50:24
22,22A,Dasyprocta-fuliginosa,8/14/18 8:07,8/14/18,8:07:08
8,8A,Pecari-tajacu,8/14/18 9:39,8/14/18,9:39:12
22,22A,Dasyprocta-fuliginosa,8/14/18 11:08,8/14/18,11:08:04
22,22A,Dasyprocta-fuliginosa,8/14/18 11:51,8/14/18,11:51:14
23,23B,Tayassu-pecari,8/14/18 11:58,8/14/18,11:58:14
4,4A,Psophia-crepitans,8/14/18 13:47,8/14/18,13:47:01
13,13B,Dasyprocta-fuliginosa,8/14/18 16:03,8/14/18,16:03:49
18,18B,Dasyprocta-fuliginosa,8/14/18 16:05,8/14/18,16:05:00
2,2B,Atelocynus-microtis,8/14/18 18:49,8/14/18,18:49:50
4,4A,Cuniculus-paca,8/14/18 20:09,8/14/18,20:09:17
14,14B,Dasypus-novemcinctus,8/15/18 0:01,8/15/18,0:01:00
2,2B,Dasypus-novemcinctus,8/15/18 2:00,8/15/18,2:00:12
13,13A,Psophia-crepitans,8/15/18 8:17,8/15/18,8:17:06
29,29A,Mitu-salvini,8/15/18 9:23,8/15/18,9:23:19
28,28A,Tayassu-pecari,8/15/18 13:54,8/15/18,13:54:21
24,24A,Penelope-jacquacu,8/15/18 14:23,8/15/18,14:23:14
13,13A,Myrmecophaga-tridactyla,8/15/18 14:32,8/15/18,14:32:00
25,25A,Atelocynus-microtis,8/15/18 17:21,8/15/18,17:21:41
30,30B,Atelocynus-microtis,8/15/18 19:41,8/15/18,19:41:48
4,4A,Cuniculus-paca,8/15/18 22:20,8/15/18,22:20:21
14,14A,Dasypus-novemcinctus,8/16/18 6:15,8/16/18,6:15:00
13,13A,NA-NA,8/16/18 6:40,8/16/18,6:40:22
4,4A,Tayassu-pecari,8/16/18 6:53,8/16/18,6:53:45
13,13A,Psophia-crepitans,8/16/18 9:58,8/16/18,9:58:50
23,23B,Pecari-tajacu,8/16/18 15:38,8/16/18,15:38:42
18,18A,Tapirus-terrestris,8/16/18 22:40,8/16/18,22:40:51
7,7A,Tayassu-pecari,8/17/18 7:18,8/17/18,7:18:50
23,23B,NA-NA,8/17/18 17:33,8/17/18,17:33:43
21,21B,Nothocrax-urumutum,8/17/18 18:03,8/17/18,18:03:25
22,22A,Tapirus-terrestris,8/18/18 4:35,8/18/18,4:35:57
22,22A,Mazama-gouazoubira,8/18/18 4:42,8/18/18,4:42:35
21,21B,Mazama-gouazoubira,8/18/18 7:13,8/18/18,7:13:13
3,3A,Tayassu-pecari,8/18/18 9:22,8/18/18,9:22:07
13,13B,Mazama-americana,8/18/18 12:09,8/18/18,12:09:05
4,4A,Atelocynus-microtis,8/19/18 6:37,8/19/18,6:37:43
4,4A,Pecari-tajacu,8/19/18 9:09,8/19/18,9:09:05
18,18B,Panthera-onca,8/19/18 10:13,8/19/18,10:13:00
16,16A,Eira-barbara,8/19/18 11:46,8/19/18,11:46:17
16,16B,Atelocynus-microtis,8/19/18 11:49,8/19/18,11:49:27
13,13B,Mazama-gouazoubira,8/19/18 18:11,8/19/18,18:11:26
21,21B,Atelocynus-microtis,8/20/18 9:54,8/20/18,9:54:21
4,4A,Psophia-crepitans,8/20/18 15:45,8/20/18,15:45:16
25,25A,Myoprocta-pratti,8/20/18 18:21,8/20/18,18:21:32
9,9A,Pecari-tajacu,8/21/18 0:11,8/21/18,0:11:25
7,7A,Mitu-salvini,8/21/18 7:37,8/21/18,7:37:19
8,8A,Nothocrax-urumutum,8/21/18 7:47,8/21/18,7:47:32
8,8B,Mitu-salvini,8/21/18 7:48,8/21/18,7:48:30
18,18B,Dasyprocta-fuliginosa,8/21/18 13:43,8/21/18,13:43:00
16,16A,Eira-barbara,8/21/18 14:43,8/21/18,14:43:38
18,18A,Dasyprocta-fuliginosa,8/21/18 17:42,8/21/18,17:42:51
3,3A,NAN-NAN,8/21/18 20:31,8/21/18,20:31:42
9,9A,Dasypus-novemcinctus,8/22/18 4:30,8/22/18,4:30:31
22,22A,Nasua-nasua,8/22/18 8:29,8/22/18,8:29:00
28,28A,Pecari-tajacu,8/22/18 9:20,8/22/18,9:20:51
22,22A,Pecari-tajacu,8/22/18 13:05,8/22/18,13:05:00
22,22A,Atelocynus-microtis,8/22/18 18:52,8/22/18,18:52:00
30,30B,Mazama-americana,8/22/18 19:32,8/22/18,19:32:49
24,24A,Cuniculus-paca,8/23/18 3:16,8/23/18,3:16:17
13,13B,Myrmecophaga-tridactyla,8/23/18 10:08,8/23/18,10:08:48
25,25A,Penelope-jacquacu,8/23/18 12:14,8/23/18,12:14:06
3,3A,Psophia-crepitans,8/23/18 13:28,8/23/18,13:28:25
28,28A,Mazama-gouazoubira,8/23/18 17:17,8/23/18,17:17:40
21,21B,Mazama-americana,8/23/18 18:10,8/23/18,18:10:14
18,18A,Cuniculus-paca,8/24/18 1:29,8/24/18,1:29:51
30,30B,Mazama-americana,8/24/18 2:58,8/24/18,2:58:18
26,26B,Mazama-gouazoubira,8/24/18 7:20,8/24/18,7:20:26
7,7A,Pecari-tajacu,8/24/18 12:10,8/24/18,12:10:41
7,7A,Tayassu-pecari,8/24/18 12:14,8/24/18,12:14:47
23,23B,Atelocynus-microtis,8/24/18 13:42,8/24/18,13:42:44
4,4A,Nothocrax-urumutum,8/24/18 16:56,8/24/18,16:56:04
17,17B,Pecari-tajacu,8/24/18 17:44,8/24/18,17:44:45
17,17B,Mazama-americana,8/24/18 19:06,8/24/18,19:06:56
17,17B,Pecari-tajacu,8/25/18 2:23,8/25/18,2:23:28
17,17A,Pecari-tajacu,8/25/18 10:34,8/25/18,10:34:00
12,12A,Penelope-jacquacu,8/25/18 12:58,8/25/18,12:58:20
9,9A,Penelope-jacquacu,8/25/18 14:26,8/25/18,14:26:30
8,8A,Tinamu-major,8/25/18 17:17,8/25/18,17:17:24
17,17A,Pecari-tajacu,8/25/18 19:12,8/25/18,19:12:00
24,24B,Tayassu-pecari,8/26/18 14:31,8/26/18,14:31:57
24,24B,Pecari-tajacu,8/26/18 14:36,8/26/18,14:36:02
18,18A,Cuniculus-paca,8/26/18 19:16,8/26/18,19:16:51
9,9A,Mazama-gouazoubira,8/27/18 1:40,8/27/18,1:40:34
15,15A,Atelocynus-microtis,8/27/18 9:29,8/27/18,9:29:15
7,7A,Eira-barbara,8/27/18 17:31,8/27/18,17:31:00
15,15B,Atelocynus-microtis,8/27/18 17:47,8/27/18,17:47:15
9,9A,Mitu-salvini,8/27/18 17:49,8/27/18,17:49:59
7,7A,Mitu-salvini,8/27/18 18:49,8/27/18,18:49:00
7,7A,Atelocynus-microtis,8/28/18 12:05,8/28/18,12:05:00
1,1B,Atelocynus-microtis,8/28/18 12:14,8/28/18,12:14:20
8,8B,Mitu-salvini,8/28/18 14:12,8/28/18,14:12:25
9,9A,Mitu-salvini,8/28/18 17:11,8/28/18,17:11:41
29,29A,Dasyprocta-fuliginosa,8/28/18 17:46,8/28/18,17:46:05
8,8A,NA-NA,8/29/18 7:29,8/29/18,7:29:19
16,16A,Psophia-crepitans,8/29/18 8:32,8/29/18,8:32:31
17,17B,Pecari-tajacu,8/29/18 11:50,8/29/18,11:50:40
4,4A,Pecari-tajacu,8/30/18 5:44,8/30/18,5:44:02
12,12A,Saguinus-graellsi,8/30/18 9:10,8/30/18,9:10:34
20,20B,Pecari-tajacu,8/30/18 9:17,8/30/18,9:17:36
20,20B,Pecari-tajacu,8/30/18 9:55,8/30/18,9:55:36
18,18A,Psophia-crepitans,8/30/18 13:43,8/30/18,13:43:51
3,3A,Mazama-gouazoubira,8/30/18 14:21,8/30/18,14:21:43
18,18B,Pecari-tajacu,8/30/18 16:42,8/30/18,16:42:00
22,22A,NA-NA,8/30/18 18:48,8/30/18,18:48:31
3,3B,Cuniculus-paca,8/30/18 19:19,8/30/18,19:19:50
29,29A,Priodontes-maximus,8/30/18 21:43,8/30/18,21:43:47
29,29A,Dasyprocta-fuliginosa,8/31/18 14:33,8/31/18,14:33:01
17,17B,NA-NA,8/31/18 16:11,8/31/18,16:11:40
9,9A,Psophia-crepitans,8/31/18 16:51,8/31/18,16:51:43
8,8A,Leopardus-pardalis,8/31/18 23:26,8/31/18,23:26:01
28,28A,Tayassu-pecari,9/1/18 8:03,9/1/18,8:03:45
18,18B,Mitu-salvini,9/1/18 9:33,9/1/18,9:33:00
4,4B,Cuniculus-paca,9/1/18 20:32,9/1/18,20:32:29
24,24A,Tapirus-terrestris,9/1/18 20:38,9/1/18,20:38:00
18,18A,Atelocynus-microtis,9/2/18 3:43,9/2/18,3:43:51
28,28A,Mazama-americana,9/2/18 3:46,9/2/18,3:46:18
28,28A,Mazama-americana,9/2/18 4:18,9/2/18,4:18:21
9,9A,Eira-barbara,9/2/18 16:07,9/2/18,16:07:00
8,8A,Crypturellus-undulatus,9/2/18 16:10,9/2/18,16:10:31
15,15A,Atelocynus-microtis,9/2/18 20:01,9/2/18,20:01:55
1,1B,Cuniculus-paca,9/3/18 0:56,9/3/18,0:56:07
4,4A,Atelocynus-microtis,9/3/18 8:51,9/3/18,8:51:34
2,2A,Psophia-crepitans,9/3/18 15:17,9/3/18,15:17:26
15,15A,Myrmecophaga-tridactyla,9/3/18 20:02,9/3/18,20:02:32
22,22A,Tayassu-pecari,9/3/18 22:05,9/3/18,22:05:35
22,22A,Pecari-tajacu,9/3/18 22:13,9/3/18,22:13:42
22,22A,Psophia-crepitans,9/4/18 4:30,9/4/18,4:30:46
8,8B,Cebus-albifrons,9/4/18 6:58,9/4/18,6:58:54
28,28A,Tayassu-pecari,9/4/18 13:36,9/4/18,13:36:59
22,22A,Puma-concolor,9/4/18 19:27,9/4/18,19:27:42
15,15A,Panthera-onca,9/4/18 22:35,9/4/18,22:35:22
13,13B,Cuniculus-paca,9/5/18 2:17,9/5/18,2:17:53
22,22A,Pecari-tajacu,9/5/18 4:00,9/5/18,4:00:53
18,18B,Panthera-onca,9/5/18 8:30,9/5/18,8:30:00
17,17B,NA-NA,9/5/18 10:54,9/5/18,10:54:01
4,4A,Mazama-americana,9/5/18 11:26,9/5/18,11:26:39
4,4B,Mazama-gouazoubira,9/5/18 11:28,9/5/18,11:28:10
18,18B,Panthera-onca,9/5/18 12:31,9/5/18,12:31:00
13,13B,Nothocrax-urumutum,9/5/18 12:48,9/5/18,12:48:52
24,24B,Eira-barbara,9/5/18 15:12,9/5/18,15:12:40
17,17B,NA-NA,9/5/18 16:45,9/5/18,16:45:58
9,9B,Nothocrax-urumutum,9/5/18 18:02,9/5/18,18:02:36
15,15A,Cuniculus-paca,9/5/18 19:00,9/5/18,19:00:19
4,4B,Cuniculus-paca,9/5/18 19:18,9/5/18,19:18:35
12,12A,Tapirus-terrestris,9/5/18 19:36,9/5/18,19:36:49
4,4A,Dasypus-novemcinctus,9/5/18 20:18,9/5/18,20:18:24
13,13B,Mazama-americana,9/6/18 8:09,9/6/18,8:09:10
17,17B,NA-NA,9/6/18 13:05,9/6/18,13:05:06
17,17B,Cuniculus-paca,9/6/18 19:12,9/6/18,19:12:54
3,3B,Cuniculus-paca,9/6/18 22:29,9/6/18,22:29:46
3,3A,Cuniculus-paca,9/6/18 23:14,9/6/18,23:14:05
3,3B,Eira-barbara,9/7/18 8:24,9/7/18,8:24:37
4,4A,Panthera-onca,9/7/18 9:37,9/7/18,9:37:26
4,4A,Pecari-tajacu,9/7/18 12:24,9/7/18,12:24:45
30,30B,Mazama-gouazoubira,9/7/18 12:48,9/7/18,12:48:38
9,9A,Psophia-crepitans,9/7/18 14:42,9/7/18,14:42:48
4,4B,Dasyprocta-fuliginosa,9/7/18 19:53,9/7/18,19:53:07
18,18B,Leopardus-pardalis,9/7/18 22:35,9/7/18,22:35:00
4,4A,Psophia-crepitans,9/8/18 9:07,9/8/18,9:07:20
13,13B,Mazama-americana,9/8/18 9:30,9/8/18,9:30:50
24,24B,Penelope-jacquacu,9/8/18 11:05,9/8/18,11:05:41
13,13B,Psophia-crepitans,9/8/18 13:36,9/8/18,13:36:21
21,21B,Psophia-crepitans,9/8/18 14:31,9/8/18,14:31:48
12,12A,Pecari-tajacu,9/8/18 16:58,9/8/18,16:58:56
28,28A,Mitu-salvini,9/8/18 17:36,9/8/18,17:36:06
15,15B,Mazama-gouazoubira,9/9/18 0:10,9/9/18,0:10:32
18,18A,Cuniculus-paca,9/9/18 3:36,9/9/18,3:36:51
18,18A,Crypturellus-undulatus,9/9/18 6:21,9/9/18,6:21:51
4,4B,Tayassu-pecari,9/9/18 8:04,9/9/18,8:04:47
18,18A,NA-NA,9/9/18 10:02,9/9/18,10:02:51
17,17B,Penelope-jacquacu,9/9/18 15:05,9/9/18,15:05:04
8,8A,Puma-concolor,9/9/18 15:20,9/9/18,15:20:29
15,15B,Penelope-jacquacu,9/10/18 7:49,9/10/18,7:49:16
13,13B,Mazama-americana,9/10/18 20:35,9/10/18,20:35:00
17,17B,Mazama-gouazoubira,9/11/18 2:17,9/11/18,2:17:18
28,28A,Pecari-tajacu,9/11/18 8:09,9/11/18,8:09:43
17,17A,Mazama-gouazoubira,9/11/18 19:05,9/11/18,19:05:00
22,22A,Pecari-tajacu,9/11/18 19:22,9/11/18,19:22:10
4,4A,Dasypus-novemcinctus,9/12/18 2:16,9/12/18,2:16:08
28,28A,Pecari-tajacu,9/12/18 8:14,9/12/18,8:14:24
4,4A,Pecari-tajacu,9/12/18 9:14,9/12/18,9:14:56
28,28A,Pecari-tajacu,9/12/18 11:12,9/12/18,11:12:45
8,8A,Dasyprocta-fuliginosa,9/12/18 16:13,9/12/18,16:13:23
8,8B,Pecari-tajacu,9/12/18 16:14,9/12/18,16:14:12
17,17A,Dasypus-novemcinctus,9/12/18 20:26,9/12/18,20:26:00
9,9A,Dasypus-novemcinctus,9/13/18 3:29,9/13/18,3:29:15
22,22A,Cuniculus-paca,9/13/18 8:36,9/13/18,8:36:25
13,13B,Penelope-jacquacu,9/13/18 14:46,9/13/18,14:46:44
12,12A,Eira-barbara,9/13/18 16:13,9/13/18,16:13:28
24,24B,Crypturellus-undulatus,9/13/18 17:36,9/13/18,17:36:49
18,18A,NA-NA,9/13/18 17:37,9/13/18,17:37:51
24,24B,Tapirus-terrestris,9/13/18 22:20,9/13/18,22:20:54
24,24B,Tapirus-terrestris,9/14/18 0:43,9/14/18,0:43:42
18,18A,Psophia-crepitans,9/14/18 8:33,9/14/18,8:33:51
18,18B,Psophia-crepitans,9/14/18 8:35,9/14/18,8:35:00
22,22A,Dasyprocta-fuliginosa,9/15/18 1:56,9/15/18,1:56:28
24,24B,Dasypus-novemcinctus,9/15/18 2:45,9/15/18,2:45:32
3,3B,Cuniculus-paca,9/15/18 4:59,9/15/18,4:59:40
4,4A,Atelocynus-microtis,9/15/18 11:27,9/15/18,11:27:40
25,25A,Dasyprocta-fuliginosa,9/15/18 11:37,9/15/18,11:37:00
18,18A,Dasyprocta-fuliginosa,9/15/18 17:22,9/15/18,17:22:51
15,15B,Cuniculus-paca,9/15/18 20:19,9/15/18,20:19:50
30,30B,Atelocynus-microtis,9/15/18 21:13,9/15/18,21:13:13
3,3B,Cuniculus-paca,9/15/18 21:44,9/15/18,21:44:19
25,25A,Leopardus-pardalis,9/15/18 22:16,9/15/18,22:16:00
18,18B,Atelocynus-microtis,9/15/18 22:22,9/15/18,22:22:00
28,28A,Pecari-tajacu,9/16/18 9:13,9/16/18,9:13:22
4,4A,Atelocynus-microtis,9/16/18 12:22,9/16/18,12:22:53
17,17A,Panthera-onca,9/17/18 8:49,9/17/18,8:49:00
4,4B,Mazama-gouazoubira,9/17/18 11:55,9/17/18,11:55:07
8,8A,Mitu-salvini,9/17/18 12:59,9/17/18,12:59:45
8,8B,Panthera-onca,9/17/18 14:15,9/17/18,14:15:54
9,9B,Leucopternis-melanops,9/17/18 14:46,9/17/18,14:46:48
8,8B,Cuniculus-paca,9/18/18 2:40,9/18/18,2:40:24
25,25A,Tapirus-terrestris,9/18/18 7:10,9/18/18,7:10:00
17,17B,Penelope-jacquacu,9/18/18 12:00,9/18/18,12:00:17
3,3B,Mazama-gouazoubira,9/18/18 15:48,9/18/18,15:48:00
28,28A,Mitu-salvini,9/18/18 16:12,9/18/18,16:12:45
8,8A,Dasyprocta-fuliginosa,9/18/18 17:42,9/18/18,17:42:59
2,2A,Mitu-salvini,9/19/18 15:30,9/19/18,15:30:17
2,2A,Mazama-americana,9/19/18 21:44,9/19/18,21:44:59
9,9B,Pecari-tajacu,9/20/18 5:37,9/20/18,5:37:14
17,17A,Mazama-gouazoubira,9/20/18 7:05,9/20/18,7:05:00
4,4B,Mazama-americana,9/20/18 7:07,9/20/18,7:07:08
28,28A,Mazama-gouazoubira,9/20/18 10:34,9/20/18,10:34:33
4,4A,Pecari-tajacu,9/20/18 12:08,9/20/18,12:08:21
9,9A,Pecari-tajacu,9/20/18 12:23,9/20/18,12:23:08
3,3B,Tapirus-terrestris,9/20/18 21:28,9/20/18,21:28:09
8,8A,Cuniculus-paca,9/21/18 3:21,9/21/18,3:21:38
17,17B,Tapirus-terrestris,9/21/18 5:30,9/21/18,5:30:30
13,13B,Psophia-crepitans,9/21/18 7:48,9/21/18,7:48:00
12,12A,Mitu-salvini,9/21/18 8:31,9/21/18,8:31:25
4,4A,Psophia-crepitans,9/21/18 8:59,9/21/18,8:59:25
29,29A,Mitu-salvini,9/21/18 9:21,9/21/18,9:21:58
12,12A,Mazama-americana,9/21/18 10:04,9/21/18,10:04:30
4,4A,Atelocynus-microtis,9/21/18 18:23,9/21/18,18:23:24
17,17A,Tapirus-terrestris,9/21/18 22:18,9/21/18,22:18:00
24,24B,Tayassu-pecari,9/22/18 11:23,9/22/18,11:23:26
17,17B,Mazama-gouazoubira,9/22/18 11:46,9/22/18,11:46:31
22,22A,Tayassu-pecari,9/22/18 21:57,9/22/18,21:57:59
17,17B,Tamandua-tetradactyla,9/23/18 0:39,9/23/18,0:39:02
17,17A,Nasua-nasua,9/23/18 2:34,9/23/18,2:34:00
17,17A,Mazama-gouazoubira,9/23/18 4:34,9/23/18,4:34:00
29,29A,Mitu-salvini,9/23/18 9:50,9/23/18,9:50:12
3,3B,Mitu-salvini,9/23/18 13:25,9/23/18,13:25:54
3,3A,Mazama-gouazoubira,9/23/18 17:22,9/23/18,17:22:11
8,8A,Dasyprocta-fuliginosa,9/24/18 6:08,9/24/18,6:08:24
8,8B,Myoprocta-pratti,9/24/18 6:09,9/24/18,6:09:23
28,28A,Pecari-tajacu,9/24/18 7:36,9/24/18,7:36:28
30,30B,Atelocynus-microtis,9/24/18 9:00,9/24/18,9:00:38
30,30B,Pecari-tajacu,9/24/18 9:05,9/24/18,9:05:44
22,22A,Mazama-gouazoubira,9/24/18 12:09,9/24/18,12:09:46
21,21B,Pecari-tajacu,9/24/18 14:08,9/24/18,14:08:04
21,21B,Pecari-tajacu,9/24/18 15:00,9/24/18,15:00:57
4,4A,Tinamu-major,9/24/18 17:24,9/24/18,17:24:28
13,13B,Mazama-americana,9/24/18 19:23,9/24/18,19:23:31
15,15B,Mazama-americana,9/25/18 0:12,9/25/18,0:12:10
17,17B,Psophia-crepitans,9/25/18 10:54,9/25/18,10:54:01
17,17A,Psophia-crepitans,9/26/18 3:41,9/26/18,3:41:00
1,1B,Psophia-crepitans,9/26/18 6:07,9/26/18,6:07:24
4,4B,Pecari-tajacu,9/26/18 9:10,9/26/18,9:10:25
30,30B,Pecari-tajacu,9/26/18 9:25,9/26/18,9:25:55
25,25A,Atelocynus-microtis,9/26/18 13:01,9/26/18,13:01:00
4,4A,Eira-barbara,9/26/18 14:04,9/26/18,14:04:19
24,24B,Crypturellus-undulatus,9/26/18 16:45,9/26/18,16:45:38
4,4A,Crypturellus-undulatus,9/26/18 17:38,9/26/18,17:38:30
12,12A,Nothocrax-urumutum,9/27/18 8:34,9/27/18,8:34:21
4,4B,Mazama-gouazoubira,9/27/18 9:13,9/27/18,9:13:58
29,29A,Tayassu-pecari,9/27/18 9:19,9/27/18,9:19:35
9,9A,Tapirus-terrestris,9/27/18 18:19,9/27/18,18:19:52
4,4A,NA-NA,9/28/18 6:29,9/28/18,6:29:23
21,21B,Psophia-crepitans,9/28/18 8:28,9/28/18,8:28:08
21,21B,Dasyprocta-fuliginosa,9/28/18 8:43,9/28/18,8:43:09
4,4A,Psophia-crepitans,9/28/18 8:59,9/28/18,8:59:23
25,25A,Mazama-americana,9/28/18 18:35,9/28/18,18:35:00
22,22A,Pecari-tajacu,9/28/18 23:39,9/28/18,23:39:11
16,16A,Pecari-tajacu,9/29/18 7:22,9/29/18,7:22:51
24,24B,Penelope-jacquacu,10/1/18 9:34,10/1/18,9:34:15
16,16A,NAN-NAN,10/1/18 22:18,10/1/18,22:18:57
24,24B,Tayassu-pecari,10/3/18 12:37,10/3/18,12:37:20
24,24B,Pecari-tajacu,10/3/18 12:37,10/3/18,12:37:21
16,16A,Myrmecophaga-tridactyla,10/3/18 17:52,10/3/18,17:52:26
24,24B,Crypturellus-undulatus,10/4/18 7:12,10/4/18,7:12:38
24,24B,Penelope-jacquacu,10/5/18 10:52,10/5/18,10:52:41
24,24B,Tinamu-major,10/9/18 6:04,10/9/18,6:04:53
